YEAR,COUNTY_DISTRICT_CODE,DISTRICT_NAME,ENROLLMENT_GRADES_K_12,DISCIPLINE_INCIDENTS,DISCIPLINE_INCIDENT_RATE,DISCIPLINE_ALCOHOL,DISCIPLINE_ALCOHOL_RATE,DISCIPLINE_DRUG,DISCIPLINE_DRUG_RATE,DISCIPLINE_OTHER,DISCIPLINE_OTHER_RATE,DISCIPLINE_TOBACCO,DISCIPLINE_TOBACCO_RATE,DISCIPLINE_VIOLENCE,DISCIPLINE_VIOLENCE_RATE,DISCIPLINE_WEAPON,DISCIPLINE_WEAPON_RATE,DISCIPLINE_REMOVAL_IN_SCHL_SUSP,DISCIPLINE_REMOVAL_IN_SCHL_SUSP_RATE,DISCIPLINE_REMOVAL_OUT_SCHL_SUSP,DISCIPLINE_REMOVAL_OUT_SCHL_SUSP_RATE,DISCIPLINE_REMOVAL_EXPULSION,DISCIPLINE_EXPULSION_RATE,DISCIPLINE_MORE_10_DAYS,DISCIPLINE_MORE_10_DAYS_RATE
2001,001090,ADAIR CO. R-I,323,5,1.5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2002,001090,ADAIR CO. R-I,322,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2003,001090,ADAIR CO. R-I,315,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2004,001090,ADAIR CO. R-I,311,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2005,001090,ADAIR CO. R-I,307,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2006,001090,ADAIR CO. R-I,303,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2007,001090,ADAIR CO. R-I,293,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2008,001090,ADAIR CO. R-I,287,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2009,001090,ADAIR CO. R-I,266,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2010,001090,ADAIR CO. R-I,260,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2011,001090,ADAIR CO. R-I,253,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2012,001090,ADAIR CO. R-I,255,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2013,001090,ADAIR CO. R-I,263,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2014,001090,ADAIR CO. R-I,279,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2015,001090,ADAIR CO. R-I,258,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2016,001090,ADAIR CO. R-I,232,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2017,001090,ADAIR CO. R-I,230,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2018,001090,ADAIR CO. R-I,221,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2019,001090,ADAIR CO. R-I,219,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020,001090,ADAIR CO. R-I,225,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2021,001090,ADAIR CO. R-I,208,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2022,001090,ADAIR CO. R-I,221,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2023,001090,ADAIR CO. R-I,234,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2001,001091,KIRKSVILLE R-III,2342,6,0.3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2002,001091,KIRKSVILLE R-III,2346,6,0.3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2003,001091,KIRKSVILLE R-III,2396,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2004,001091,KIRKSVILLE R-III,2394,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2005,001091,KIRKSVILLE R-III,2421,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2006,001091,KIRKSVILLE R-III,2443,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2007,001091,KIRKSVILLE R-III,2471,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2008,001091,KIRKSVILLE R-III,2524,12,0.5,*,*,*,*,11,0.4,*,*,*,*,*,*,*,*,11,0.4,*,*,*,*
2009,001091,KIRKSVILLE R-III,2431,18,0.7,*,*,*,*,16,0.7,*,*,*,*,*,*,*,*,17,0.7,*,*,12,0.5
2010,001091,KIRKSVILLE R-III,2490,6,0.2,*,*,*,*,6,0.2,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2011,001091,KIRKSVILLE R-III,2419,11,0.5,*,*,*,*,5,0.2,*,*,*,*,*,*,*,*,10,0.4,*,*,*,*
2012,001091,KIRKSVILLE R-III,2457,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2013,001091,KIRKSVILLE R-III,2457,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2014,001091,KIRKSVILLE R-III,2436,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2015,001091,KIRKSVILLE R-III,2382,13,0.5,*,*,*,*,9,0.4,*,*,*,*,*,*,*,*,13,0.5,*,*,7,0.3
2016,001091,KIRKSVILLE R-III,2394,8,0.3,*,*,*,*,6,0.3,*,*,*,*,*,*,*,*,8,0.3,*,*,*,*
2017,001091,KIRKSVILLE R-III,2416,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2018,001091,KIRKSVILLE R-III,2440,11,0.5,*,*,*,*,8,0.3,*,*,*,*,*,*,*,*,8,0.3,*,*,*,*
2019,001091,KIRKSVILLE R-III,2419,12,0.5,*,*,*,*,8,0.3,*,*,*,*,*,*,*,*,12,0.5,*,*,*,*
2020,001091,KIRKSVILLE R-III,2373,22,0.9,*,*,8,0.3,11,0.5,*,*,*,*,*,*,*,*,20,0.8,*,*,5,0.2
2021,001091,KIRKSVILLE R-III,2292,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
