YEAR,COUNTY_DISTRICT_CODE,DISTRICT_NAME,PROPORTIONAL_ATTENDANCE_TOTAL_90ABV,PROPORTIONAL_ATTENDANCE_TOTAL,PROPORTIONAL_ATTENDANCE_TOTAL_PCT,PROPORTIONAL_ATTENDANCE_ASIAN_90ABV,PROPORTIONAL_ATTENDANCE_ASIAN,PROPORTIONAL_ATTENDANCE_ASIAN_PCT,PROPORTIONAL_ATTENDANCE_BLACK_90ABV,PROPORTIONAL_ATTENDANCE_BLACK,PROPORTIONAL_ATTENDANCE_BLACK_PCT,PROPORTIONAL_ATTENDANCE_HISPANIC_90ABV,PROPORTIONAL_ATTENDANCE_HISPANIC,PROPORTIONAL_ATTENDANCE_HISPANIC_PCT,PROPORTIONAL_ATTENDANCE_INDIAN_90ABV,PROPORTIONAL_ATTENDANCE_INDIAN,PROPORTIONAL_ATTENDANCE_INDIAN_PCT,PROPORTIONAL_ATTENDANCE_MULTIRACE_90ABV,PROPORTIONAL_ATTENDANCE_MULTIRACE,PROPORTIONAL_ATTENDANCE_MULTIRACE_PCT,PROPORTIONAL_ATTENDANCE_PACIFIC_ISLANDER_90ABV,PROPORTIONAL_ATTENDANCE_PACIFIC_ISLANDER,PROPORTIONAL_ATTENDANCE_PACIFIC_ISLANDER_PCT,PROPORTIONAL_ATTENDANCE_WHITE_90ABV,PROPORTIONAL_ATTENDANCE_WHITE,PROPORTIONAL_ATTENDANCE_WHITE_PCT,PROPORTIONAL_ATTENDANCE_K_8_90ABV,PROPORTIONAL_ATTENDANCE_K_8,PROPORTIONAL_ATTENDANCE_K_8_PCT,PROPORTIONAL_ATTENDANCE_9_12_90ABV,PROPORTIONAL_ATTENDANCE_9_12,PROPORTIONAL_ATTENDANCE_9_12_PCT,PROPORTIONAL_ATTENDANCE_LEP_PCT,PROPORTIONAL_ATTENDANCE_IEP_PCT,PROPORTIONAL_ATTENDANCE_FRL_PCT
2009,001090,ADAIR CO. R-I,248.4377,266.6593,93.2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,248.4377,266.6593,93.2,165.0645,177.3542,93.1,83.3732,89.3051,93.4,*,91.2,92
2010,001090,ADAIR CO. R-I,250.3324,263.2789,95.1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,249.4429,262.3894,95.1,175.516,181.5935,96.7,74.8164,81.6854,91.6,*,79.6,93.4
2011,001090,ADAIR CO. R-I,235.0871,249.8533,94.1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,230.0871,244.8533,94,159.0049,167.3768,95,76.0822,82.4765,92.2,*,91.1,90.9
2012,001090,ADAIR CO. R-I,228.5513,248.4943,92,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,224.6463,243.3069,92.3,150.3997,162.4863,92.6,78.1516,86.008,90.9,*,96.2,88.4
2013,001090,ADAIR CO. R-I,242.0416,261.1034,92.7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,239.0416,255.8595,93.4,165.1032,175.8103,93.9,76.9384,85.2931,90.2,*,88.6,90.2
2014,001090,ADAIR CO. R-I,270.519,280.4782,96.4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,268.519,277.4782,96.8,181.7871,188.1414,96.6,88.7319,92.3368,96.1,*,93.1,94.6
2015,001090,ADAIR CO. R-I,247.6741,256.3696,96.6,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,245.6741,253.3696,97,165.9128,170.7858,97.1,81.7613,85.5838,95.5,*,95.2,95.2
2016,001090,ADAIR CO. R-I,220.2615,233.2682,94.4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,217.2615,230.2682,94.4,146.5571,151.6519,96.6,73.7044,81.6163,90.3,*,88.8,92.6
2017,001090,ADAIR CO. R-I,213.8166,227.1647,94.1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,211.8402,225.1883,94.1,137.6126,146.2903,94.1,76.204,80.8744,94.2,*,86.9,92.9
2018,001090,ADAIR CO. R-I,216.3106,223.1668,96.9,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,214.3152,221.1714,96.9,149.9632,151.5898,98.9,66.3474,71.577,92.7,*,94.2,97.3
