District Code,District Name,BLDG. NO.,Building Name,January State FTE F&RL Count,January Membership,2023 F&RL Percentage,Community Eligiblity Provision (CEP) Participating Building,,,,,,,
001-090,ADAIR CO. R-I,1050,ADAIR CO. HIGH, 61.20 , 118.77 ,51.60%,,,,,,,,
001-090,ADAIR CO. R-I,4020,ADAIR CO. ELEM., 60.00 , 102.00 ,58.80%,Yes,,,,,,,
001-091,KIRKSVILLE R-III,1050,KIRKSVILLE SR. HIGH, 280.60 , 781.50 ,35.90%,,,,,,,,
001-091,KIRKSVILLE R-III,3000,WILLIAM MATTHEW MIDDLE SCHOOL, 227.30 , 482.35 ,47.10%,,,,,,,,
001-091,KIRKSVILLE R-III,4030,KIRKSVILLE PRIMARY, 288.60 , 496.38 ,58.10%,,,,,,,,
001-091,KIRKSVILLE R-III,4050,RAY MILLER ELEM., 289.00 , 515.03 ,56.10%,,,,,,,,
001-092,ADAIR CO. R-II,1050,ADAIR CO. HIGH, 16.00 , 65.00 ,24.60%,,,,,,,,
001-092,ADAIR CO. R-II,4020,ADAIR CO. ELEM., 26.00 , 77.00 ,33.80%,,,,,,,,
002-089,NORTH ANDREW CO. R-VI,1050,NORTH ANDREW HIGH, 24.00 , 108.00 ,22.20%,,,,,,,,
002-089,NORTH ANDREW CO. R-VI,3000,NORTH ANDREW MIDDLE, 23.00 , 72.00 ,31.90%,,,,,,,,
002-089,NORTH ANDREW CO. R-VI,4020,NORTH ANDREW ELEM., 33.00 , 115.00 ,28.70%,,,,,,,,
002-090,AVENUE CITY R-IX,4020,AVENUE CITY ELEM., 27.00 , 194.00 ,13.90%,,,,,,,,
002-097,SAVANNAH R-III,1050,SAVANNAH HIGH, 135.00 , 656.21 ,20.60%,,,,,,,,
002-097,SAVANNAH R-III,3000,SAVANNAH MIDDLE, 178.00 , 526.00 ,33.80%,,,,,,,,
002-097,SAVANNAH R-III,4010,AMAZONIA ELEM., 45.00 , 100.00 ,45.00%,,,,,,,,
002-097,SAVANNAH R-III,4015,HELENA ELEM., 26.00 , 91.20 ,28.50%,,,,,,,,
002-097,SAVANNAH R-III,4020,JOHN GLENN ELEM., 64.00 , 253.00 ,25.30%,,,,,,,,
002-097,SAVANNAH R-III,4040,MINNIE CLINE ELEM., 204.00 , 597.00 ,34.20%,,,,,,,,
003-031,TARKIO R-I,1050,TARKIO HIGH, 60.30 , 166.25 ,36.20%,,,,,,,,
003-031,TARKIO R-I,4020,TARKIO ELEM., 85.30 , 143.26 ,59.50%,,,,,,,,
003-032,ROCK PORT R-II,1050,ROCK PORT HIGH, 45.90 , 157.31 ,29.20%,,,,,,,,
003-032,ROCK PORT R-II,4020,ROCK PORT ELEM., 68.00 , 176.24 ,38.60%,,,,,,,,
003-033,FAIRFAX R-III,1050,FAIRFAX HIGH, 29.60 , 66.37 ,44.60%,,,,,,,,
003-033,FAIRFAX R-III,4020,FAIRFAX ELEM., 29.00 , 66.00 ,43.90%,,,,,,,,
004-106,COMMUNITY R-VI,1050,COMMUNITY HIGH, 58.00 , 167.00 ,34.70%,,,,,,,,
004-106,COMMUNITY R-VI,4020,COMMUNITY ELEM., 66.00 , 129.00 ,51.20%,,,,,,,,
004-109,VAN-FAR R-I,1050,VAN-FAR JR./SR. HIGH, 128.00 , 253.86 ,50.40%,,,,,,,,
004-109,VAN-FAR R-I,4020,VAN-FAR ELEM., 154.50 , 282.53 ,54.70%,,,,,,,,
004-110,MEXICO 59,1050,MEXICO HIGH, 247.60 , 678.76 ,36.50%,,,,,,,,
004-110,MEXICO 59,2050,MEXICO MIDDLE, 498.20 , 499.22 ,99.80%,Yes,,,,,,,
004-110,MEXICO 59,4020,EUGENE FIELD ELEM., 414.20 , 414.22 ,100.00%,Yes,,,,,,,
004-110,MEXICO 59,4060,HAWTHORNE ELEM., 428.30 , 428.30 ,100.00%,Yes,,,,,,,
004-110,MEXICO 59,4080,MCMILLAN EARLY LEARNING CENTER, 184.00 , 184.06 ,100.00%,Yes,,,,,,,
005-120,WHEATON R-III,1050,WHEATON HIGH, 92.00 , 175.00 ,52.60%,,,,,,,,
005-120,WHEATON R-III,4020,WHEATON ELEM., 123.00 , 221.00 ,55.70%,,,,,,,,
005-121,SOUTHWEST R-V,1050,SOUTHWEST HIGH, 139.00 , 258.00 ,53.90%,,,,,,,,
005-121,SOUTHWEST R-V,3000,SOUTHWEST MIDDLE, 135.00 , 222.00 ,60.80%,,,,,,,,
005-121,SOUTHWEST R-V,4020,SOUTHWEST ELEM., 172.00 , 280.00 ,61.40%,,,,,,,,
005-122,EXETER R-VI,1050,EXETER HIGH, 67.00 , 95.25 ,70.30%,,,,,,,,
