DISTRICT_NAME,Total Number of Students F&R,Total Number Reported,FR_PCT,FR_PCT_FLOAT,,,,,,,,
WARREN CO. R-III,1226.1,2872.01,0.43,43,,,,,,,,
WENTZVILLE R-IV," 2,573.80 "," 17,335.48 ",0.15,15,,,,,,,,
ST. CHARLES R-VI,1586.3,4538.06,0.35,35,,,,,,,,
ORCHARD FARM R-V,522.5,2150.26,0.24,24,,,,,,,,
ROCKWOOD R-VI,2320.3,19537.58,0.12,12,,,,,,,,
FT. ZUMWALT R-II,3119.5,16528.25,0.19,19,,,,,,,,
FRANCIS HOWELL R-III,2308.4,16215.09,0.14,14,,,,,,,,
LEE'S SUMMIT R-VII,3432.6,17433.95,0.20,20,,,,,,,,
FESTUS R-VI,1119,3308.5,0.34,34,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
