Score,Hour
0.90,1
0.79,1
0.85,1
0.82,1
0.92,1
0.95,1
0.86,1
0.99,1
0.88,1
0.81,1
0.92,1
0.58,1
0.74,1
0.84,1
0.87,1
0.87,1
0.69,1
0.81,1
0.91,1
0.00,1
0.86,1
0.76,2
0.73,2
0.71,2
0.90,2
0.93,2
0.79,2
0.72,2
0.93,2
0.81,2
0.77,2
0.78,2
0.94,2
0.94,2
0.76,2
0.60,2
0.92,2
0.78,2
0.74,6
0.96,6
0.72,6
0.88,6
0.92,6
0.88,6
0.98,6
0.76,6
0.59,6
0.83,6
0.87,6
0.65,6
0.91,6
0.83,6
0.80,6
0.72,6
0.96,6
0.93,6
0.86,6
0.96,6
0.87,7
0.73,7
0.93,7
0.98,7
0.93,7
0.84,7
0.90,7
0.95,7
0.96,7
0.93,7
0.87,7
0.70,7
0.96,7
0.81,7
0.94,7
0.91,7
0.83,7
0.92,7
0.89,7
0.72,7
0.80,7
