Score,Hour
0.58,2
0.79,2
0.63,2
0.85,2
0.25,2
0.73,2
0.70,2
0.69,2
0.45,2
0.87,2
0.52,2
0.73,2
0.78,2
0.87,2
0.80,2
0.84,2
0.77,3
0.87,3
0.89,3
0.86,3
0.83,3
0.88,3
0.90,3
0.60,3
0.80,3
0.82,3
0.85,3
0.81,3
0.67,3
0.24,3
0.69,3
0.39,3
0.78,3
0.85,3
0.71,3
0.83,5
0.57,5
0.61,5
0.90,5
0.85,5
0.86,5
0.68,5
0.79,5
0.86,5
1.00,5
0.83,5
0.88,5
0.83,5
0.51,6
0.56,6
0.83,6
0.84,6
0.85,6
0.86,6
0.89,6
0.66,6
0.57,6
0.94,6
0.81,6
0.62,6
0.78,6
0.86,6
0.67,6
0.64,6
0.62,6
0.76,6
0.71,6
0.24,6
