Score,Hour
0.95,7
0.86,7
0.90,7
0.91,7
0.95,7
0.88,7
0.78,7
0.88,7
0.96,7
0.92,7
0.77,7
0.87,7
0.97,7
0.82,7
0.94,7
0.88,7
0.95,7
0.96,7
0.90,7
0.75,7
0.90,7
0.85,7
0.93,7
0.60,2
0.80,2
0.58,2
0.86,2
0.23,2
0.75,2
0.71,2
0.72,2
0.49,2
0.87,2
0.52,2
0.72,2
0.79,2
0.89,2
0.81,2
0.84,2
0.78,3
0.85,3
0.89,3
0.86,3
0.84,3
0.89,3
0.50,3
0.91,3
0.60,3
0.80,3
0.85,3
0.83,3
0.71,3
0.31,3
0.63,3
0.39,3
0.79,3
0.85,3
0.73,3
0.83,5
0.57,5
0.61,5
0.90,5
0.85,5
0.16,5
0.86,5
0.68,5
0.79,5
0.86,5
1.00,5
0.83,5
0.88,5
0.83,5
0.54,6
0.59,6
0.83,6
0.84,6
0.86,6
0.87,6
0.90,6
0.68,6
0.59,6
0.94,6
0.82,6
0.62,6
0.79,6
0.87,6
0.70,6
0.66,6
0.64,6
0.87,6
0.71,6
0.29,6
