YEAR,CATEGORY,TYPE,DISTRICT_NAME,CONTENT_AREA,BELOW_BASIC_PCT,BASIC_PCT,PROFICIENT_PCT,ADVANCED_PCT
2023,MSIP Race/Ethnicity ,White (not Hispanic),ADAIR CO. R-I,Eng. Language Arts,19.3,45,25.7,10.1
2023,MSIP Race/Ethnicity ,White (not Hispanic),ADAIR CO. R-I,Mathematics,36.6,34.8,16.1,12.5
2023,MSIP Race/Ethnicity ,White (not Hispanic),ADAIR CO. R-I,Science,26.8,44.6,*,*
2023,MSIP Race/Ethnicity ,White (not Hispanic),ADAIR CO. R-I,Social Studies,*,61.5,*,*
2023,MSIP Special Programs ,IEP Students,ADAIR CO. R-I,Eng. Language Arts,66.7,*,*,*
2023,MSIP Special Programs ,IEP Students,ADAIR CO. R-I,Mathematics,86.7,*,*,*
2023,MSIP Special Programs ,MAP Direct Certification,ADAIR CO. R-I,Eng. Language Arts,25,40.6,15.6,18.8
2023,MSIP Special Programs ,MAP Direct Certification,ADAIR CO. R-I,Mathematics,50,21.9,*,*
2023,MSIP Special Programs ,MAP Direct Certification,ADAIR CO. R-I,Science,*,33.3,*,*
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,ADAIR CO. R-I,Eng. Language Arts,19.3,43.4,26.5,10.8
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,ADAIR CO. R-I,Mathematics,41.4,32.2,17.2,9.2
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,ADAIR CO. R-I,Science,30.6,38.9,*,*
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,ADAIR CO. R-I,Social Studies,*,50,*,*
2023,MSIP Special Programs ,Student Group,ADAIR CO. R-I,Eng. Language Arts,35.7,31,19.1,14.3
2023,MSIP Special Programs ,Student Group,ADAIR CO. R-I,Mathematics,57.1,21.4,*,*
2023,MSIP Special Programs ,Student Group,ADAIR CO. R-I,Science,36.8,31.6,*,*
2023,MSIP Total ,Total,ADAIR CO. R-I,Eng. Language Arts,19.3,45,25.7,10.1
2023,MSIP Total ,Total,ADAIR CO. R-I,Mathematics,36.6,34.8,16.1,12.5
2023,MSIP Total ,Total,ADAIR CO. R-I,Science,26.8,44.6,*,*
2023,MSIP Total ,Total,ADAIR CO. R-I,Social Studies,*,57.1,*,*
2023,MSIP Race/Ethnicity ,Asian/Pacific Islander,KIRKSVILLE R-III,Eng. Language Arts,*,*,36.4,40.9
2023,MSIP Race/Ethnicity ,Asian/Pacific Islander,KIRKSVILLE R-III,Mathematics,*,*,*,56.5
2023,MSIP Race/Ethnicity ,Asian/Pacific Islander,KIRKSVILLE R-III,Science,*,*,*,*
2023,MSIP Race/Ethnicity ,Asian/Pacific Islander,KIRKSVILLE R-III,Social Studies,*,*,*,*
2023,MSIP Race/Ethnicity ,Black (not Hispanic),KIRKSVILLE R-III,Eng. Language Arts,20,33.3,33.3,13.3
2023,MSIP Race/Ethnicity ,Black (not Hispanic),KIRKSVILLE R-III,Mathematics,33.3,33.3,22.2,11.1
2023,MSIP Race/Ethnicity ,Black (not Hispanic),KIRKSVILLE R-III,Science,29.2,54.2,*,*
2023,MSIP Race/Ethnicity ,Black (not Hispanic),KIRKSVILLE R-III,Social Studies,*,80,*,*
2023,MSIP Race/Ethnicity ,Hispanic,KIRKSVILLE R-III,Eng. Language Arts,13.2,39.5,31.6,15.8
2023,MSIP Race/Ethnicity ,Hispanic,KIRKSVILLE R-III,Mathematics,22.9,25.7,28.6,22.9
2023,MSIP Race/Ethnicity ,Hispanic,KIRKSVILLE R-III,Science,33.3,38.1,*,*
2023,MSIP Race/Ethnicity ,Hispanic,KIRKSVILLE R-III,Social Studies,*,66.7,*,*
2023,MSIP Race/Ethnicity ,Multiracial,KIRKSVILLE R-III,Eng. Language Arts,19.5,48.8,19.5,12.2
2023,MSIP Race/Ethnicity ,Multiracial,KIRKSVILLE R-III,Mathematics,51.4,27,*,*
2023,MSIP Race/Ethnicity ,Multiracial,KIRKSVILLE R-III,Science,35.7,*,*,*
2023,MSIP Race/Ethnicity ,Multiracial,KIRKSVILLE R-III,Social Studies,*,*,*,*
2023,MSIP Race/Ethnicity ,White (not Hispanic),KIRKSVILLE R-III,Eng. Language Arts,14.3,40.3,29.7,15.8
2023,MSIP Race/Ethnicity ,White (not Hispanic),KIRKSVILLE R-III,Mathematics,24.9,30.4,23,21.7
2023,MSIP Race/Ethnicity ,White (not Hispanic),KIRKSVILLE R-III,Science,20.3,39,25.9,14.8
2023,MSIP Race/Ethnicity ,White (not Hispanic),KIRKSVILLE R-III,Social Studies,*,48.2,46.7,*
2023,MSIP Special Programs ,EL students,KIRKSVILLE R-III,Eng. Language Arts,23.1,30.8,33.3,12.8
2023,MSIP Special Programs ,EL students,KIRKSVILLE R-III,Mathematics,33.3,35.7,*,*
2023,MSIP Special Programs ,EL students,KIRKSVILLE R-III,Science,29.4,58.8,*,*
2023,MSIP Special Programs ,EL students,KIRKSVILLE R-III,Social Studies,*,87.5,*,*
2023,MSIP Special Programs ,IEP Students,KIRKSVILLE R-III,Eng. Language Arts,42.6,45.7,*,*
2023,MSIP Special Programs ,IEP Students,KIRKSVILLE R-III,Mathematics,65.1,24.6,*,*
2023,MSIP Special Programs ,IEP Students,KIRKSVILLE R-III,Science,52,32,*,*
2023,MSIP Special Programs ,IEP Students,KIRKSVILLE R-III,Social Studies,*,83.3,*,*
2023,MSIP Special Programs ,MAP Direct Certification,KIRKSVILLE R-III,Eng. Language Arts,24.6,52.7,15.9,6.9
2023,MSIP Special Programs ,MAP Direct Certification,KIRKSVILLE R-III,Mathematics,44.4,32.7,14,9
2023,MSIP Special Programs ,MAP Direct Certification,KIRKSVILLE R-III,Science,39.8,43.5,*,*
2023,MSIP Special Programs ,MAP Direct Certification,KIRKSVILLE R-III,Social Studies,*,65.4,23.1,*
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,KIRKSVILLE R-III,Eng. Language Arts,22,45.9,22.2,9.9
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,KIRKSVILLE R-III,Mathematics,37.8,31,19,12.2
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,KIRKSVILLE R-III,Science,34.7,39.8,18.1,7.4
2023,MSIP Special Programs ,MAP Free and Reduced Lunch,KIRKSVILLE R-III,Social Studies,*,67.3,23.1,*
2023,MSIP Special Programs ,Student Group,KIRKSVILLE R-III,Eng. Language Arts,25.2,47.7,19.9,7.2
2023,MSIP Special Programs ,Student Group,KIRKSVILLE R-III,Mathematics,43.3,31.5,15,10.2
2023,MSIP Special Programs ,Student Group,KIRKSVILLE R-III,Science,38,43,15.1,3.9
2023,MSIP Special Programs ,Student Group,KIRKSVILLE R-III,Social Studies,*,66.7,22.2,*
2023,MSIP Total ,Total,KIRKSVILLE R-III,Eng. Language Arts,14.6,39.8,29.7,16
2023,MSIP Total ,Total,KIRKSVILLE R-III,Mathematics,25.8,30,22.6,21.6
2023,MSIP Total ,Total,KIRKSVILLE R-III,Science,21.4,39.5,25,14.1
